relative_path,group,extension,size_bytes,size_kib
dataset/ai-xr-oculus/24302506529397673_privacy_policy.txt,ai-xr-oculus,.txt,25914,25.307
dataset/ai-xr-oculus/2436558143118760_privacy_policy.txt,ai-xr-oculus,.txt,10415,10.171
dataset/ai-xr-oculus/24397129266601725_privacy_policy.txt,ai-xr-oculus,.txt,8497,8.298
dataset/ai-xr-oculus/2441213515992073_privacy_policy.txt,ai-xr-oculus,.txt,27612,26.965
dataset/ai-xr-oculus/2443267419018232_privacy_policy.txt,ai-xr-oculus,.txt,5051,4.933
dataset/ai-xr-oculus/2446085128829455_privacy_policy.txt,ai-xr-oculus,.txt,13186,12.877
dataset/ai-xr-oculus/2446271755437605_privacy_policy.txt,ai-xr-oculus,.txt,13161,12.853
dataset/ai-xr-oculus/2448060205267927_privacy_policy.txt,ai-xr-oculus,.txt,18348,17.918
dataset/ai-xr-oculus/24496870869957102_privacy_policy.txt,ai-xr-oculus,.txt,46689,45.595
dataset/ai-xr-oculus/2462678267173943_privacy_policy.txt,ai-xr-oculus,.txt,46753,45.657
dataset/ai-xr-oculus/24708707708727852_privacy_policy.txt,ai-xr-oculus,.txt,34071,33.272
dataset/ai-xr-oculus/24882487241367228_privacy_policy.txt,ai-xr-oculus,.txt,37724,36.840
dataset/ai-xr-oculus/2497738113633933_privacy_policy.txt,ai-xr-oculus,.txt,19745,19.282
dataset/ai-xr-oculus/25004134432533924_privacy_policy.txt,ai-xr-oculus,.txt,9772,9.543
dataset/ai-xr-oculus/2507216576060698_privacy_policy.txt,ai-xr-oculus,.txt,17344,16.938
dataset/ai-xr-oculus/2515021945210953_privacy_policy.txt,ai-xr-oculus,.txt,48364,47.230
dataset/ai-xr-oculus/25176949381952074_privacy_policy.txt,ai-xr-oculus,.txt,9882,9.650
dataset/ai-xr-oculus/2544573735586536_privacy_policy.txt,ai-xr-oculus,.txt,28527,27.858
dataset/ai-xr-oculus/2564158073609422_privacy_policy.txt,ai-xr-oculus,.txt,48364,47.230
dataset/ai-xr-oculus/2567395559960697_privacy_policy.txt,ai-xr-oculus,.txt,11450,11.182
dataset/ai-xr-oculus/2567459230020142_privacy_policy.txt,ai-xr-oculus,.txt,32415,31.655
dataset/ai-xr-oculus/2582932495064035_privacy_policy.txt,ai-xr-oculus,.txt,42376,41.383
dataset/ai-xr-oculus/25867502682848132_privacy_policy.txt,ai-xr-oculus,.txt,19213,18.763
dataset/ai-xr-oculus/2586839431358655_privacy_policy.txt,ai-xr-oculus,.txt,33875,33.081
dataset/ai-xr-oculus/26019802470968635_privacy_policy.txt,ai-xr-oculus,.txt,17174,16.771
dataset/ai-xr-oculus/2603836099654226_privacy_policy.txt,ai-xr-oculus,.txt,48364,47.230
dataset/ai-xr-oculus/26125522680424396_privacy_policy.txt,ai-xr-oculus,.txt,12121,11.837
dataset/ai-xr-oculus/2617233878395214_privacy_policy.txt,ai-xr-oculus,.txt,12879,12.577
dataset/ai-xr-oculus/26219278647717294_privacy_policy.txt,ai-xr-oculus,.txt,2428,2.371
dataset/ai-xr-oculus/26261730413412240_privacy_policy.txt,ai-xr-oculus,.txt,5039,4.921
dataset/ai-xr-oculus/2637179839719680_privacy_policy.txt,ai-xr-oculus,.txt,48327,47.194
dataset/ai-xr-oculus/2658975244130479_privacy_policy.txt,ai-xr-oculus,.txt,30353,29.642
dataset/ai-xr-oculus/2677344882310094_privacy_policy.txt,ai-xr-oculus,.txt,48364,47.230
dataset/ai-xr-oculus/2685959161497510_privacy_policy.txt,ai-xr-oculus,.txt,32136,31.383
dataset/ai-xr-oculus/2689252421131120_privacy_policy.txt,ai-xr-oculus,.txt,43820,42.793
dataset/ai-xr-oculus/2708465082504733_privacy_policy.txt,ai-xr-oculus,.txt,18863,18.421
dataset/ai-xr-oculus/2736813653063231_privacy_policy.txt,ai-xr-oculus,.txt,16718,16.326
dataset/ai-xr-oculus/2792447070854325_privacy_policy.txt,ai-xr-oculus,.txt,12559,12.265
dataset/ai-xr-oculus/2812851825399383_privacy_policy.txt,ai-xr-oculus,.txt,6491,6.339
dataset/ai-xr-oculus/2833307773392914_privacy_policy.txt,ai-xr-oculus,.txt,19213,18.763
dataset/ai-xr-oculus/2849273531812512_privacy_policy.txt,ai-xr-oculus,.txt,9012,8.801
dataset/ai-xr-oculus/2853664488067174_privacy_policy.txt,ai-xr-oculus,.txt,30165,29.458
dataset/ai-xr-oculus/2873640696088444_privacy_policy.txt,ai-xr-oculus,.txt,68590,66.982
dataset/ai-xr-oculus/2886115781495034_privacy_policy.txt,ai-xr-oculus,.txt,32139,31.386
dataset/ai-xr-oculus/2897337400373711_privacy_policy.txt,ai-xr-oculus,.txt,3220,3.145
dataset/ai-xr-oculus/2913958855307200_privacy_policy.txt,ai-xr-oculus,.txt,26336,25.719
